x_km,y_km
5.704,51.306
5.649,51.222
5.614,51.172
5.6,51.156
5.593,51.139
5.58,51.122
5.573,51.106
5.559,51.089
5.524,51.056
5.545,51.055
5.531,51.039
5.517,51.022
5.538,51.022
5.503,50.989
5.496,50.972
5.489,50.955
5.448,50.922
5.455,50.905
15.614,50.592
15.607,50.542
15.614,50.525
15.607,50.491
15.614,50.475
15.614,50.323
15.614,50.307
15.593,50.29
15.614,50.29
15.579,50.273
15.6,50.273
5.122,50.337
15.586,50.257
15.607,50.256
5.101,50.303
15.434,50.207
15.455,50.207
15.476,50.207
15.413,50.191
15.434,50.191
15.455,50.19
5.101,50.253
15.413,50.174
15.434,50.174
5.087,50.236
15.386,50.157
15.406,50.157
15.427,50.157
5.087,50.219
15.372,50.141
15.392,50.14
15.413,50.14
5.08,50.203
15.337,50.124
15.358,50.124
15.379,50.124
15.399,50.124
5.073,50.186
15.316,50.107
15.337,50.107
15.358,50.107
15.379,50.107
15.399,50.107
5.087,50.169
15.33,50.091
15.351,50.09
15.372,50.09
15.392,50.09
5.087,50.152
15.316,50.074
15.337,50.074
15.358,50.074
15.379,50.073
15.282,50.057
15.302,50.057
15.323,50.057
15.344,50.057
15.365,50.057
15.268,50.041
15.289,50.041
15.309,50.04
15.33,50.04
15.351,50.04
5.066,50.102
15.261,50.024
15.282,50.024
15.302,50.024
15.323,50.023
15.344,50.023
5.066,50.085
15.254,50.007
15.275,50.007
15.295,50.007
15.316,50.007
15.337,50.007
5.053,50.068
15.24,49.991
15.261,49.99
15.282,49.99
15.302,49.99
15.323,49.99
15.344,49.99
15.24,49.974
15.261,49.974
15.282,49.973
15.302,49.973
15.323,49.973
15.24,49.957
15.261,49.957
15.282,49.957
15.302,49.956
15.323,49.956
15.24,49.94
15.261,49.94
15.281,49.94
15.302,49.94
15.219,49.923
15.24,49.923
15.261,49.923
15.281,49.923
15.302,49.923
15.219,49.907
15.24,49.907
15.261,49.906
15.281,49.906
15.302,49.906
15.219,49.89
15.24,49.89
15.261,49.89
15.281,49.889
15.302,49.889
15.219,49.873
15.24,49.873
15.261,49.873
15.281,49.873
15.198,49.856
15.219,49.856
15.24,49.856
15.261,49.856
15.281,49.856
15.198,49.84
15.219,49.84
15.24,49.839
15.261,49.839
15.281,49.839
15.205,49.823
15.226,49.823
15.247,49.823
15.268,49.822
15.191,49.806
15.212,49.806
15.233,49.806
15.254,49.806
15.274,49.806
15.198,49.789
15.219,49.789
15.24,49.789
15.261,49.789
15.191,49.773
15.212,49.772
15.233,49.772
15.254,49.772
15.184,49.756
15.205,49.756
15.226,49.756
15.247,49.755
15.184,49.739
15.205,49.739
15.226,49.739
15.247,49.739
15.184,49.722
15.205,49.722
15.226,49.722
15.247,49.722
15.171,49.706
15.191,49.705
15.212,49.705
15.233,49.705
15.15,49.689
15.171,49.689
15.191,49.689
15.212,49.688
15.233,49.688
15.157,49.672
15.177,49.672
15.198,49.672
15.219,49.672
15.24,49.671
15.157,49.655
15.177,49.655
15.198,49.655
15.219,49.655
15.24,49.655
15.15,49.639
15.17,49.638
15.191,49.638
15.212,49.638
15.233,49.638
15.129,49.622
15.15,49.622
15.17,49.622
15.191,49.621
15.212,49.621
15.233,49.621
15.122,49.605
15.143,49.605
15.163,49.605
15.184,49.605
15.205,49.605
15.226,49.604
15.115,49.588
15.136,49.588
15.157,49.588
15.177,49.588
15.198,49.588
15.219,49.588
15.24,49.588
15.136,49.572
15.157,49.571
15.177,49.571
15.198,49.571
15.219,49.571
15.24,49.571
15.143,49.555
15.163,49.555
15.184,49.554
15.205,49.554
15.226,49.554
15.246,49.554
15.156,49.538
15.177,49.538
15.198,49.537
15.219,49.537
15.239,49.537
15.15,49.521
15.17,49.521
15.191,49.521
15.212,49.521
15.233,49.52
15.253,49.52
15.163,49.504
15.184,49.504
15.205,49.504
15.226,49.504
15.246,49.504
15.17,49.487
15.191,49.487
15.212,49.487
15.232,49.487
15.053,49.471
15.198,49.47
15.219,49.47
15.239,49.47
15.205,49.453
15.226,49.453
15.246,49.453
15.219,49.437
15.239,49.436
15.26,49.436
15.239,49.42
15.26,49.419
15.239,49.403
15.26,49.403
15.239,49.386
15.26,49.386
15.281,49.386
15.26,49.369
15.281,49.369
15.267,49.352
15.288,49.352
15.274,49.335
15.295,49.335
15.274,49.319
15.295,49.318
15.274,49.302
15.295,49.302
15.267,49.285
15.288,49.285
15.308,49.285
15.281,49.268
15.301,49.268
15.274,49.251
15.294,49.251
15.315,49.251
15.281,49.235
15.301,49.234
15.267,49.218
15.287,49.218
15.308,49.218
15.274,49.201
15.294,49.201
15.315,49.201
15.281,49.184
15.301,49.184
15.26,49.168
15.28,49.167
15.301,49.167
15.253,49.151
15.274,49.151
15.294,49.151
15.315,49.15
15.253,49.134
15.274,49.134
15.294,49.134
15.315,49.134
15.246,49.117
15.267,49.117
15.287,49.117
15.308,49.117
15.239,49.101
15.26,49.1
15.28,49.1
15.301,49.1
15.322,49.1
15.246,49.084
15.267,49.084
15.287,49.083
15.308,49.083
15.329,49.083
15.253,49.067
15.273,49.067
15.294,49.067
15.315,49.066
15.336,49.066
15.253,49.05
15.273,49.05
15.294,49.05
15.315,49.05
15.336,49.049
15.253,49.033
15.273,49.033
15.294,49.033
15.315,49.033
15.336,49.033
15.26,49.016
15.28,49.016
15.301,49.016
15.322,49.016
15.266,49.0
15.287,48.999
15.308,48.999
15.329,48.999
15.287,48.983
15.308,48.983
15.329,48.982
15.294,48.966
15.315,48.966
15.336,48.966
15.308,48.949
15.329,48.949
15.308,48.932
15.329,48.932
15.349,48.932
15.329,48.915
15.349,48.915
15.329,48.898
15.349,48.898
15.329,48.882
15.349,48.881
15.37,48.881
15.342,48.865
15.363,48.865
15.384,48.864
15.349,48.848
15.37,48.848
15.391,48.848
15.356,48.831
15.377,48.831
15.342,48.814
15.363,48.814
15.384,48.814
15.349,48.798
15.37,48.797
15.391,48.797
15.363,48.781
15.384,48.78
15.356,48.764
15.377,48.764
15.398,48.764
15.37,48.747
15.391,48.747
15.363,48.73
15.384,48.73
15.356,48.714
15.377,48.713
15.397,48.713
15.363,48.697
15.384,48.697
15.349,48.68
15.37,48.68
15.391,48.68
15.349,48.663
15.37,48.663
15.391,48.663
15.349,48.646
15.37,48.646
15.39,48.646
15.342,48.63
15.363,48.63
15.384,48.629
15.404,48.629
15.363,48.613
15.384,48.613
15.404,48.612
15.37,48.596
15.39,48.596
15.356,48.579
15.377,48.579
15.397,48.579
15.363,48.562
15.383,48.562
15.404,48.562
15.37,48.546
15.39,48.545
15.411,48.545
15.37,48.529
15.39,48.529
15.411,48.528
15.37,48.512
15.39,48.512
15.411,48.512
15.356,48.495
15.376,48.495
15.397,48.495
15.418,48.495
15.363,48.478
15.383,48.478
15.404,48.478
15.425,48.478
15.369,48.462
15.39,48.461
15.411,48.461
15.356,48.445
15.376,48.445
15.397,48.445
15.418,48.444
15.363,48.428
15.383,48.428
15.404,48.428
15.425,48.428
15.376,48.411
15.397,48.411
15.418,48.411
15.369,48.394
15.39,48.394
15.411,48.394
15.362,48.378
15.383,48.378
15.404,48.377
15.369,48.361
15.39,48.361
15.362,48.344
15.383,48.344
15.362,48.327
15.383,48.327
15.369,48.31
15.355,48.294
15.376,48.294
15.362,48.277
15.342,48.26
15.362,48.26
15.342,48.244
15.362,48.243
15.335,48.227
15.355,48.227
15.321,48.21
15.341,48.21
15.307,48.193
15.328,48.193
15.286,48.177
15.307,48.177
15.328,48.176
15.279,48.16
15.3,48.16
15.321,48.16
15.341,48.16
15.279,48.143
15.3,48.143
15.321,48.143
15.258,48.127
15.279,48.126
15.3,48.126
15.321,48.126
15.265,48.11
15.286,48.11
15.307,48.109
15.328,48.109
15.265,48.093
15.286,48.093
15.307,48.093
15.244,48.076
15.265,48.076
15.286,48.076
15.307,48.076
15.238,48.06
15.258,48.059
15.279,48.059
15.3,48.059
15.321,48.059
15.244,48.043
15.265,48.043
15.286,48.042
15.307,48.042
15.217,48.026
15.238,48.026
15.258,48.026
15.279,48.026
15.3,48.026
15.321,48.025
15.224,48.009
15.244,48.009
15.265,48.009
15.286,48.009
15.307,48.009
15.203,47.993
15.224,47.993
15.244,47.992
15.265,47.992
15.286,47.992
15.307,47.992
15.189,47.976
15.21,47.976
15.231,47.976
15.251,47.976
15.272,47.975
15.293,47.975
15.314,47.975
15.196,47.959
15.217,47.959
15.237,47.959
15.258,47.959
15.279,47.959
15.3,47.958
15.32,47.958
15.196,47.942
15.217,47.942
15.237,47.942
15.258,47.942
15.279,47.942
15.3,47.942
15.32,47.941
15.196,47.926
15.217,47.925
15.237,47.925
15.258,47.925
15.279,47.925
15.3,47.925
15.32,47.925
15.196,47.909
15.217,47.909
15.237,47.908
15.258,47.908
15.279,47.908
15.3,47.908
15.32,47.908
15.196,47.892
15.217,47.892
15.237,47.892
15.258,47.892
15.279,47.891
15.3,47.891
15.182,47.875
15.203,47.875
15.223,47.875
15.244,47.875
15.265,47.875
15.286,47.875
15.306,47.874
15.196,47.858
15.217,47.858
15.237,47.858
15.258,47.858
15.279,47.858
15.3,47.858
15.203,47.842
15.223,47.841
15.244,47.841
15.265,47.841
15.286,47.841
15.203,47.825
15.223,47.825
15.244,47.824
15.265,47.824
15.286,47.824
15.21,47.808
15.23,47.808
15.251,47.808
15.272,47.807
15.293,47.807
15.23,47.791
15.251,47.791
15.272,47.791
15.293,47.791
15.244,47.774
15.265,47.774
15.286,47.774
15.251,47.757
15.272,47.757
15.292,47.757
15.265,47.74
15.286,47.74
15.265,47.724
15.286,47.723
15.265,47.707
15.286,47.707
15.265,47.69
15.285,47.69
15.265,47.673
15.285,47.673
15.272,47.656
15.251,47.64
15.272,47.64
15.244,47.623
15.265,47.623
15.237,47.606
15.258,47.606
15.237,47.589
15.209,47.573
15.23,47.573
15.209,47.556
15.188,47.539
15.209,47.539
15.188,47.523
15.209,47.523
15.195,47.506
15.181,47.489
15.202,47.489
15.181,47.472
15.161,47.456
15.181,47.456
15.161,47.439
15.181,47.439
15.168,47.422
15.188,47.422
15.168,47.405
15.188,47.405
15.161,47.389
15.181,47.388
15.154,47.372
15.174,47.372
15.195,47.372
15.161,47.355
15.181,47.355
15.202,47.355
15.167,47.338
15.188,47.338
15.154,47.321
15.174,47.321
15.195,47.321
15.16,47.305
15.181,47.304
15.147,47.288
15.167,47.288
15.188,47.288
15.154,47.271
15.174,47.271
15.147,47.254
15.167,47.254
15.133,47.238
15.153,47.238
15.174,47.237
15.14,47.221
15.16,47.221
15.119,47.204
15.14,47.204
15.16,47.204
15.112,47.187
15.133,47.187
15.153,47.187
15.174,47.187
15.126,47.171
15.146,47.17
15.167,47.17
15.126,47.154
15.146,47.154
15.112,47.137
15.133,47.137
15.119,47.12
15.098,47.087
15.098,47.07
15.098,47.003
15.091,46.969
15.07,46.936
15.091,46.936
15.077,46.919
15.07,46.902
15.07,46.886
15.07,46.869
15.063,46.852
15.028,46.819
15.028,46.802
15.049,46.802
15.035,46.785
15.028,46.768
15.021,46.752
15.042,46.751
15.028,46.735
15.014,46.718
15.035,46.718
15.021,46.701
15.042,46.701
15.035,46.684
15.028,46.668
15.049,46.667
15.049,46.651
15.042,46.634
15.063,46.634
15.056,46.617
15.077,46.617
15.063,46.6
15.049,46.583
15.07,46.583
15.056,46.567
15.077,46.566
15.063,46.55
15.049,46.533
15.07,46.533
15.063,46.516
15.056,46.499
15.056,46.483
15.035,46.466
15.014,46.449
15.035,46.449
15.007,46.433
