x_km,y_km
5.599,51.497
5.658,51.498
5.54,51.397
5.6,51.397
5.481,51.296
5.541,51.297
5.423,51.195
5.482,51.196
5.364,51.095
5.423,51.096
15.487,51.203
5.305,50.994
5.364,50.995
15.428,51.102
15.488,51.103
5.246,50.894
5.305,50.894
15.37,51.002
15.429,51.002
15.488,51.003
5.187,50.793
5.247,50.794
5.306,50.794
15.311,50.901
15.37,50.902
15.429,50.902
15.488,50.903
5.129,50.692
5.188,50.693
5.247,50.694
15.311,50.801
15.37,50.802
15.43,50.802
15.489,50.803
5.129,50.592
5.188,50.593
15.312,50.701
5.129,50.492
5.188,50.493
5.07,50.392
5.13,50.392
4.952,50.291
5.012,50.291
5.071,50.292
4.894,50.19
4.953,50.191
5.012,50.191
5.071,50.192
15.195,50.3
4.539,50.086
4.598,50.087
4.657,50.087
4.716,50.088
4.776,50.089
4.835,50.089
4.894,50.09
4.953,50.091
15.195,50.2
4.539,49.986
4.598,49.987
4.658,49.987
4.717,49.988
4.776,49.989
4.835,49.989
15.195,50.1
15.331,45.502
12.614,43.773
12.555,43.672
12.615,43.673
12.674,43.674
12.733,43.674
12.792,43.675
12.851,43.676
12.911,43.676
12.97,43.677
13.029,43.677
13.088,43.678
12.615,43.573
12.674,43.574
12.733,43.574
12.792,43.575
12.852,43.576
12.911,43.576
12.97,43.577
13.029,43.577
13.088,43.578
13.148,43.579
13.207,43.579
13.266,43.58
13.325,43.581
13.384,43.581
13.444,43.582
13.503,43.583
13.444,43.482
15.517,43.304
15.576,43.305
15.458,43.203
15.517,43.204
15.576,43.205
15.636,43.205
15.695,43.206
11.018,43.056
11.078,43.057
11.137,43.057
15.518,43.104
15.577,43.105
15.636,43.105
15.695,43.106
15.754,43.107
10.959,42.955
11.019,42.956
11.078,42.957
11.137,42.957
11.196,42.958
15.518,43.004
15.577,43.005
15.636,43.005
15.696,43.006
15.755,43.007
15.814,43.007
10.841,42.854
10.901,42.855
10.96,42.855
11.019,42.856
11.078,42.857
11.137,42.857
15.518,42.904
15.578,42.905
15.637,42.905
15.696,42.906
15.755,42.907
15.814,42.907
15.874,42.908
10.783,42.754
10.842,42.754
10.901,42.755
10.96,42.755
11.019,42.756
11.079,42.757
15.637,42.805
15.696,42.806
15.756,42.807
15.815,42.807
15.874,42.808
15.933,42.809
16.052,42.81
10.783,42.654
10.842,42.654
10.901,42.655
