x_km,y_km,src
5.599,51.497,map1_tophat
5.658,51.498,map1_tophat
5.54,51.397,map1_tophat
5.6,51.397,map1_tophat
5.481,51.296,map1_tophat
5.541,51.297,map1_tophat
5.423,51.195,map1_tophat
5.482,51.196,map1_tophat
5.364,51.095,map1_tophat
5.423,51.096,map1_tophat
15.487,51.203,map1_tophat
5.305,50.994,map1_tophat
5.364,50.995,map1_tophat
15.428,51.102,map1_tophat
15.488,51.103,map1_tophat
5.246,50.894,map1_tophat
5.305,50.894,map1_tophat
15.37,51.002,map1_tophat
15.429,51.002,map1_tophat
15.488,51.003,map1_tophat
5.187,50.793,map1_tophat
5.247,50.794,map1_tophat
5.306,50.794,map1_tophat
15.311,50.901,map1_tophat
15.37,50.902,map1_tophat
15.429,50.902,map1_tophat
15.488,50.903,map1_tophat
5.129,50.692,map1_tophat
5.188,50.693,map1_tophat
5.247,50.694,map1_tophat
15.311,50.801,map1_tophat
15.37,50.802,map1_tophat
15.43,50.802,map1_tophat
15.489,50.803,map1_tophat
5.129,50.592,map1_tophat
5.188,50.593,map1_tophat
15.312,50.701,map1_tophat
5.129,50.492,map1_tophat
5.188,50.493,map1_tophat
5.07,50.392,map1_tophat
5.13,50.392,map1_tophat
4.952,50.291,map1_tophat
5.012,50.291,map1_tophat
5.071,50.292,map1_tophat
4.894,50.19,map1_tophat
4.953,50.191,map1_tophat
5.012,50.191,map1_tophat
5.071,50.192,map1_tophat
15.195,50.3,map1_tophat
4.539,50.086,map1_tophat
4.598,50.087,map1_tophat
4.657,50.087,map1_tophat
4.716,50.088,map1_tophat
4.776,50.089,map1_tophat
4.835,50.089,map1_tophat
4.894,50.09,map1_tophat
4.953,50.091,map1_tophat
15.195,50.2,map1_tophat
4.539,49.986,map1_tophat
4.598,49.987,map1_tophat
4.658,49.987,map1_tophat
4.717,49.988,map1_tophat
4.776,49.989,map1_tophat
4.835,49.989,map1_tophat
15.195,50.1,map1_tophat
15.331,45.502,map1_tophat
12.614,43.773,map1_tophat
12.555,43.672,map1_tophat
12.615,43.673,map1_tophat
12.674,43.674,map1_tophat
12.733,43.674,map1_tophat
12.792,43.675,map1_tophat
12.851,43.676,map1_tophat
12.911,43.676,map1_tophat
12.97,43.677,map1_tophat
13.029,43.677,map1_tophat
13.088,43.678,map1_tophat
12.615,43.573,map1_tophat
12.674,43.574,map1_tophat
12.733,43.574,map1_tophat
12.792,43.575,map1_tophat
12.852,43.576,map1_tophat
12.911,43.576,map1_tophat
12.97,43.577,map1_tophat
13.029,43.577,map1_tophat
13.088,43.578,map1_tophat
13.148,43.579,map1_tophat
13.207,43.579,map1_tophat
13.266,43.58,map1_tophat
13.325,43.581,map1_tophat
13.384,43.581,map1_tophat
13.444,43.582,map1_tophat
13.503,43.583,map1_tophat
13.444,43.482,map1_tophat
15.517,43.304,map1_tophat
15.576,43.305,map1_tophat
15.458,43.203,map1_tophat
15.517,43.204,map1_tophat
15.576,43.205,map1_tophat
15.636,43.205,map1_tophat
15.695,43.206,map1_tophat
11.018,43.056,map1_tophat
11.078,43.057,map1_tophat
11.137,43.057,map1_tophat
15.518,43.104,map1_tophat
15.577,43.105,map1_tophat
15.636,43.105,map1_tophat
15.695,43.106,map1_tophat
15.754,43.107,map1_tophat
10.959,42.955,map1_tophat
11.019,42.956,map1_tophat
11.078,42.957,map1_tophat
11.137,42.957,map1_tophat
11.196,42.958,map1_tophat
15.518,43.004,map1_tophat
15.577,43.005,map1_tophat
15.636,43.005,map1_tophat
15.696,43.006,map1_tophat
15.755,43.007,map1_tophat
15.814,43.007,map1_tophat
10.841,42.854,map1_tophat
10.901,42.855,map1_tophat
10.96,42.855,map1_tophat
11.019,42.856,map1_tophat
11.078,42.857,map1_tophat
11.137,42.857,map1_tophat
15.518,42.904,map1_tophat
15.578,42.905,map1_tophat
15.637,42.905,map1_tophat
15.696,42.906,map1_tophat
15.755,42.907,map1_tophat
15.814,42.907,map1_tophat
15.874,42.908,map1_tophat
10.783,42.754,map1_tophat
10.842,42.754,map1_tophat
10.901,42.755,map1_tophat
10.96,42.755,map1_tophat
11.019,42.756,map1_tophat
11.079,42.757,map1_tophat
15.637,42.805,map1_tophat
15.696,42.806,map1_tophat
15.756,42.807,map1_tophat
15.815,42.807,map1_tophat
15.874,42.808,map1_tophat
15.933,42.809,map1_tophat
16.052,42.81,map1_tophat
10.783,42.654,map1_tophat
10.842,42.654,map1_tophat
10.901,42.655,map1_tophat
10.961,42.655,map1_tophat
11.02,42.656,map1_tophat
11.079,42.657,map1_tophat
15.697,42.706,map1_tophat
15.756,42.707,map1_tophat
15.815,42.707,map1_tophat
15.874,42.708,map1_tophat
