Well_ID,X_GK,Y_GK,x_km,y_km,DRASTIC,Infiltration,Lithology,Land_Use_Soil,Topo_slope_pct,Unsaturated_Zone,Inside_Aquifer,K_mday,head_m,NO3_mgL
P3,4389697.790000001,4612715.340000002,7.946790000000968,36.471370000001976,150,,Gravel - coarse-grained,Sandy silt,2 to 4,Aleurite,YES,200.0,24.0,2.21
P4,4386550.210000001,4613827.160000004,4.799210000000894,37.58319000000414,133,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES,200.0,36.0,1.665
P5,4384832.870000002,4613341.220000001,3.0818700000019743,37.09725000000093,126,,Gravel - medium-grained,Clayey silt,0-2,Clay loam,NO,200.0,38.0,
P6,4382843.545374651,4612331.655031752,1.0925453746514395,36.0876850317521,123,,Gravel - fine-grained,Clayey silt,0-2,Clay loam,NO,200.0,43.0,4.1
P8,4384512.65,4612007.76,2.7616500000003725,35.763790000000036,123,,Gravel - fine-grained,Clayey silt,0-2,Clay loam,NO,200.0,40.0,
P9,4384858.900000001,4609785.000000002,3.1079000000013037,33.541030000002124,130,,Gravel - medium-grained,Clayey silt,0-2,Clay loam,NO,150.0,40.0,3.97
P10,4385772.540000001,4611141.77,4.021540000000969,34.89779999999981,128,,Gravel - medium-grained,Dusty silt,0-2,Clay loam,YES,200.0,37.0,
P12,4387178.14,4611065.859999999,5.427139999999665,34.82188999999966,139,,Gravel - medium-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES,50.0,25.0,8.155
P13,4386590.16,4605699.130000003,4.839160000000149,29.455160000002945,131,,Gravel - fine-grained,Dusty silt,0-2,Sandy clay loam,YES,50.0,35.0,4.315
P15,4382564.170000001,4605757.510000004,0.8131700000008568,29.513540000004692,121,,Gravel - fine-grained,Clayey silt,0-2,Clay loam,NO,50.0,45.0,4.225
P16,4382842.680000001,4618852.040000003,1.0916800000006333,42.60807000000309,127,,Gravel - coarse-grained,Sandy silt,2 to 4,Dusty sand_aleurite,NO,200.0,14.0,4.6
P17,4388660.46,4610529.710000005,6.909459999999963,34.28574000000488,140,,Gravel - medium-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES,200.0,25.0,2.1
P19,4398876.2,4578903.74,17.125200000000188,2.6597700000004845,189,,Gravel - coarse-grained,Absent,0-2,Dusty sand,YES,130.0,4.0,5.4
P20,4391881.35,4586409.809999999,10.130349999999627,10.16583999999892,134,,Gravel - medium-grained,Sandy silt,2 to 4,Sandy clay loam,YES,100.0,20.0,12.55
P21,4390133.639999999,4594648.170000002,8.382639999998734,18.40420000000205,134,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES,100.0,32.0,8.54
R8,4394166.0,4583209.0,12.415,6.965030000000261,161,,Gravel - coarse-grained,Dusty silt,0-2,Aleurite,YES,130.0,10.0,7.05825359999997
R11,4391794.000000002,4584444.000000002,10.043000000001863,8.200030000002123,151,,Gravel - medium-grained,Dusty silt,0-2,Aleurite,NO,70.0,7.0,3.71638539999997
R12,4394311.000000001,4585283.000000002,12.560000000000931,9.039030000002123,141,,Gravel - medium-grained,Sandy silt,0-2,Aleurite,YES,100.0,20.0,4.15
R13,4391812.0,4585733.000000002,10.061,9.489030000002124,134,,Gravel - medium-grained,Sandy silt,0-2,Aleurite,YES,100.0,20.0,22.27
R15,4391912.000000001,4587382.0,10.161000000000932,11.13803000000026,134,,Gravel - coarse-grained,Dusty silt,0-2,Aleurite,YES,100.0,20.0,
R16,4391407.000000001,4589527.0,9.656000000000931,13.283030000000261,129,,Gravel - coarse-grained,Dusty silt,0-2,Aleurite,YES,100.0,26.0,24.74
A1,4384800.000000001,4612850.0,3.049000000000931,36.60603000000026,126,,Gravel - medium-grained,Clayey silt,0-2,Clay loam,YES,200.0,38.0,
A3,4390000.000000002,4616000.000000002,8.249000000001862,39.75603000000212,163,,Gravel - coarse-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES,200.0,14.0,3.1
A4,4388850.000000001,4612899.999999998,7.099000000000931,36.656029999998395,141,,Gravel - coarse-grained,Dusty silt,0-2,Sandy clay loam,YES,200.0,26.0,1.4
A5,4384419.333672004,4611115.604097879,2.6683336720038207,34.87163409787882,123,,Gravel - fine-grained,Clayey silt,0-2,Clay loam,NO,200.0,40.0,
A9,4387250.0,4612950.000000004,5.499,36.706030000003985,133,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES,200.0,30.0,
A10,4389600.000000001,4610750.000000002,7.849000000000931,34.50603000000212,145,,Gravel - medium-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES,200.0,25.0,3.4
A11,4386700.000000001,4606500.0,4.9490000000009315,30.256030000000262,131,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES,50.0,30.0,5.3
A12,4391862.350000001,4589715.158,10.11135000000056,13.471188000000081,132,,Gravel - coarse-grained,Dusty silt,0-2,Aleurite,YES,100.0,26.0,1.38
A13,4388250.0,4600949.999999998,6.499,24.7060299999984,142,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES,100.0,25.0,5.0
A14,4398550.0,4577900.0,16.799,1.6560300000002608,189,,Gravel - coarse-grained,Thin,0-2,Dusty sand,YES,130.0,4.0,15.0
A15,4399514.22138261,4576933.072982816,17.76322138260957,0.6891029828162863,182,,Gravel - coarse-grained,Absent,2 to 4,Dusty sand,NO,130.0,6.0,20.0
A16,4387000.000000001,4596200.000000004,5.249000000000931,19.956030000003985,132,,Gravel - medium-grained,Dusty silt,2 to 4,Sandy clay loam,NO,100.0,65.0,1.81
A17,4390300.000000001,4593100.0,8.549000000000932,16.85603000000026,139,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES,100.0,25.0,5.98
A18,4394400.000000001,4587250.000000002,12.649000000000932,11.006030000002124,138,,Gravel - coarse-grained,Sandy silt,2 to 4,Aleurite,YES,50.0,15.0,4.15
A20,4387800.0,4598549.999999998,6.049,22.306029999998398,139,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES,100.0,25.0,
A21,4396050.000000001,4581000.000000002,14.299000000000932,4.756030000002124,184,,Gravel - coarse-grained,Thin,0-2,Dusty sand_aleurite,YES,130.0,6.0,15.2
A22,4382950.0,4608050.0,1.199,31.80603000000026,95,,Gravel - fine-grained,Clayey silt,0-2,Clay loam,NO,50.0,50.0,
A23,4384400.0,4606100.0,2.649,29.85603000000026,121,,Gravel - fine-grained,Clayey silt,0-2,Clay loam,YES,50.0,45.0,3.72
A24,4387100.0,4606700.000000004,5.349,30.456030000003985,128,,Gravel - fine-grained,Dusty silt,0-2,Sandy clay loam,YES,50.0,35.0,
A25,4388299.999999999,4607000.0,6.548999999999069,30.756030000000262,143,,Gravel - medium-grained,Sandy silt,2 to 4,Dusty sand_aleurite,YES,50.0,25.0,6.7
A28,4387450.000000001,4614200.0,5.6990000000009315,37.95603000000026,128,,Gravel - medium-grained,Dusty silt,0-2,Clay loam,YES,200.0,44.0,
A30,4386100.0,4613250.0,4.349,37.00603000000026,133,,Gravel - medium-grained,Dusty silt,0-2,Sandy clay loam,YES,200.0,36.0,
L88,4391248.0,4619331.0,9.497,43.08703000000026,163,,,,,,NO,,,
L89,4390830.000000001,4620469.0,9.079000000000931,44.22503000000026,163,,,,,,NO,,,
L91,4391009.000000001,4621030.000000002,9.258000000000932,44.78603000000212,167,,,,,,NO,,,
L93,4390593.000000001,4622863.000000002,8.842000000000931,46.61903000000213,167,,,,,,YES,,,
L94,4392390.000000001,4614864.000000002,10.639000000000932,38.620030000002124,163,,,,,,NO,,,
L95,4392504.0,4615871.0,10.753,39.62703000000026,163,,,,,,NO,,,
L96,4393830.0,4618508.0,12.079,42.26403000000026,163,,,,,,NO,,,
L97,4386805.000000001,4622952.0,5.054000000000931,46.708030000000264,132,,,,,,YES,,,
L99,4385755.000000002,4622561.0,4.004000000001863,46.31703000000026,137,,,,,,YES,,,
L100,4385745.000000001,4621708.000000002,3.9940000000009315,45.464030000002126,97,,,,,,YES,,,
L102,4387311.000000001,4621800.0,5.560000000000931,45.55603000000026,92,,,,,,YES,,,
L103,4387590.000000001,4619522.000000002,5.839000000000931,43.278030000002126,128,,,,,,YES,,,
L104,4386526.000000001,4619116.000000004,4.775000000000931,42.87203000000399,128,,,,,,YES,,,
L105,4387877.0,4618381.0,6.126,42.13703000000026,128,,,,,,YES,,,
