Well_ID,X_GK,Y_GK,x_km,y_km,K_mday,head_m,facies,n_min,n_mean,n_max,NO3_mgL,_inside_strict,boundary_well
P3,4389697.790000001,4612715.340000002,7.946790000000968,36.471370000001976,200.0,24.0,coarse,0.3,0.32,0.34,2.21,True,False
P4,4386550.210000001,4613827.160000004,4.799210000000894,37.58319000000414,200.0,36.0,medium,0.28,0.30000000000000004,0.32,1.665,True,False
P5,4384832.870000002,4613341.220000001,3.0818700000019743,37.09725000000093,200.0,38.0,medium,0.28,0.30000000000000004,0.32,,False,True
P9,4384858.900000001,4609785.000000002,3.1079000000013037,33.541030000002124,150.0,40.0,medium,0.28,0.30000000000000004,0.32,3.97,False,True
P10,4385772.540000001,4611141.77,4.021540000000969,34.89779999999981,200.0,37.0,medium,0.28,0.30000000000000004,0.32,,True,False
P12,4387178.14,4611065.859999999,5.427139999999665,34.82188999999966,50.0,25.0,medium,0.28,0.30000000000000004,0.32,8.155,True,False
P13,4386590.16,4605699.130000003,4.839160000000149,29.455160000002945,50.0,35.0,fine,0.25,0.27,0.29,4.315,True,False
P15,4382564.170000001,4605757.510000004,0.8131700000008568,29.513540000004692,50.0,45.0,fine,0.25,0.27,0.29,4.225,False,True
P17,4388660.46,4610529.710000005,6.909459999999963,34.28574000000488,200.0,25.0,medium,0.28,0.30000000000000004,0.32,2.1,True,False
P19,4398876.2,4578903.74,17.125200000000188,2.6597700000004845,130.0,4.0,coarse,0.3,0.32,0.34,5.4,True,False
P20,4391881.35,4586409.809999999,10.130349999999627,10.16583999999892,100.0,20.0,medium,0.28,0.30000000000000004,0.32,12.55,True,False
P21,4390133.639999999,4594648.170000002,8.382639999998734,18.40420000000205,100.0,32.0,medium,0.28,0.30000000000000004,0.32,8.54,True,False
R8,4394166.0,4583209.0,12.415,6.965030000000261,130.0,10.0,coarse,0.3,0.32,0.34,7.05825359999997,True,False
R11,4391794.000000002,4584444.000000002,10.043000000001863,8.200030000002123,70.0,7.0,medium,0.28,0.30000000000000004,0.32,3.71638539999997,False,True
R12,4394311.000000001,4585283.000000002,12.560000000000931,9.039030000002123,100.0,20.0,medium,0.28,0.30000000000000004,0.32,4.15,True,False
R13,4391812.0,4585733.000000002,10.061,9.489030000002124,100.0,20.0,medium,0.28,0.30000000000000004,0.32,22.27,True,False
R15,4391912.000000001,4587382.0,10.161000000000932,11.13803000000026,100.0,20.0,coarse,0.3,0.32,0.34,,True,False
R16,4391407.000000001,4589527.0,9.656000000000931,13.283030000000261,100.0,26.0,coarse,0.3,0.32,0.34,24.74,True,False
A1,4384800.000000001,4612850.0,3.049000000000931,36.60603000000026,200.0,38.0,medium,0.28,0.30000000000000004,0.32,,True,False
A3,4390000.000000002,4616000.000000002,8.249000000001862,39.75603000000212,200.0,14.0,coarse,0.3,0.32,0.34,3.1,True,False
A4,4388850.000000001,4612899.999999998,7.099000000000931,36.656029999998395,200.0,26.0,coarse,0.3,0.32,0.34,1.4,True,False
A5,4384419.333672004,4611115.604097879,2.6683336720038207,34.87163409787882,200.0,40.0,fine,0.25,0.27,0.29,,False,True
A9,4387250.0,4612950.000000004,5.499,36.706030000003985,200.0,30.0,medium,0.28,0.30000000000000004,0.32,,True,False
A10,4389600.000000001,4610750.000000002,7.849000000000931,34.50603000000212,200.0,25.0,medium,0.28,0.30000000000000004,0.32,3.4,True,False
A11,4386700.000000001,4606500.0,4.9490000000009315,30.256030000000262,50.0,30.0,medium,0.28,0.30000000000000004,0.32,5.3,True,False
A12,4391862.350000001,4589715.158,10.11135000000056,13.471188000000081,100.0,26.0,coarse,0.3,0.32,0.34,1.38,True,False
A13,4388250.0,4600949.999999998,6.499,24.7060299999984,100.0,25.0,medium,0.28,0.30000000000000004,0.32,5.0,True,False
A14,4398550.0,4577900.0,16.799,1.6560300000002608,130.0,4.0,coarse,0.3,0.32,0.34,15.0,True,False
A17,4390300.000000001,4593100.0,8.549000000000932,16.85603000000026,100.0,25.0,medium,0.28,0.30000000000000004,0.32,5.98,True,False
A18,4394400.000000001,4587250.000000002,12.649000000000932,11.006030000002124,50.0,15.0,coarse,0.3,0.32,0.34,4.15,True,False
A20,4387800.0,4598549.999999998,6.049,22.306029999998398,100.0,25.0,medium,0.28,0.30000000000000004,0.32,,True,False
A21,4396050.000000001,4581000.000000002,14.299000000000932,4.756030000002124,130.0,6.0,coarse,0.3,0.32,0.34,15.2,True,False
A23,4384400.0,4606100.0,2.649,29.85603000000026,50.0,45.0,fine,0.25,0.27,0.29,3.72,True,False
A24,4387100.0,4606700.000000004,5.349,30.456030000003985,50.0,35.0,fine,0.25,0.27,0.29,,True,False
A25,4388299.999999999,4607000.0,6.548999999999069,30.756030000000262,50.0,25.0,medium,0.28,0.30000000000000004,0.32,6.7,True,False
A28,4387450.000000001,4614200.0,5.6990000000009315,37.95603000000026,200.0,44.0,medium,0.28,0.30000000000000004,0.32,,True,False
A30,4386100.0,4613250.0,4.349,37.00603000000026,200.0,36.0,medium,0.28,0.30000000000000004,0.32,,True,False
