X_GK,Y_GK,channel_azimuth_deg,source
4381751.0,4606343.97,156.1,river
4382451.0,4606343.97,157.0,river
4382451.0,4607043.97,149.5,river
4382451.0,4614743.97,94.9,river
4383151.0,4605643.97,160.5,river
4383151.0,4606343.97,157.4,river
4383151.0,4607043.97,157.9,river
4383151.0,4607743.97,161.5,river
4383151.0,4614043.97,94.8,river
4383151.0,4614743.97,95.0,river
4383151.0,4615443.97,95.8,river
4383151.0,4616143.97,93.7,river
4383151.0,4623843.97,108.7,river
4383151.0,4624543.97,112.2,river
4383151.0,4625243.97,91.2,river
4383151.0,4625943.97,30.7,river
4383851.0,4604943.97,163.2,river
4383851.0,4605643.97,163.2,river
4383851.0,4606343.97,161.1,river
4383851.0,4607043.97,162.6,river
4383851.0,4607743.97,167.5,river
4383851.0,4608443.97,22.2,river
4383851.0,4609143.97,2.8,river
4383851.0,4614043.97,94.5,river
4383851.0,4614743.97,97.2,river
4383851.0,4615443.97,96.6,river
4383851.0,4616143.97,94.6,river
4383851.0,4616843.97,93.8,river
4383851.0,4617543.97,94.8,river
4383851.0,4618243.97,95.8,river
4383851.0,4618943.97,108.8,river
4383851.0,4619643.97,115.3,river
4383851.0,4620343.97,116.8,river
4383851.0,4621043.97,118.1,river
4383851.0,4621743.97,117.4,river
4383851.0,4622443.97,115.0,river
4383851.0,4623143.97,106.9,river
4383851.0,4623843.97,98.8,river
4383851.0,4624543.97,104.0,river
4383851.0,4625243.97,92.5,river
4383851.0,4625943.97,43.4,river
4384551.0,4603543.97,160.6,river
4384551.0,4604243.97,156.9,river
4384551.0,4604943.97,164.8,river
4384551.0,4605643.97,167.4,river
4384551.0,4606343.97,167.6,river
4384551.0,4607043.97,168.4,river
4384551.0,4607743.97,170.8,river
4384551.0,4608443.97,176.2,river
4384551.0,4609143.97,176.6,river
4384551.0,4609843.97,173.2,river
4384551.0,4614043.97,98.9,river
4384551.0,4614743.97,99.1,river
4384551.0,4615443.97,97.4,river
4384551.0,4616143.97,93.3,river
4384551.0,4616843.97,88.4,river
4384551.0,4617543.97,82.2,river
4384551.0,4618243.97,96.7,river
4384551.0,4618943.97,112.4,river
4384551.0,4619643.97,118.2,river
4384551.0,4620343.97,117.8,river
4384551.0,4621043.97,116.9,river
4384551.0,4621743.97,117.1,river
4384551.0,4622443.97,117.0,river
4384551.0,4623143.97,113.9,river
4384551.0,4623843.97,108.8,river
4384551.0,4624543.97,103.6,river
4384551.0,4625243.97,100.1,river
4384551.0,4625943.97,47.9,river
4385251.0,4602143.97,162.3,river
4385251.0,4602843.97,161.1,river
4385251.0,4603543.97,162.2,river
4385251.0,4604243.97,162.7,river
4385251.0,4604943.97,167.5,river
4385251.0,4605643.97,170.3,river
4385251.0,4606343.97,171.0,river
4385251.0,4607043.97,171.1,river
4385251.0,4607743.97,172.5,river
4385251.0,4608443.97,175.5,river
4385251.0,4609143.97,173.2,river
4385251.0,4609843.97,165.2,river
4385251.0,4610543.97,74.7,river
4385251.0,4611243.97,79.5,river
4385251.0,4611943.97,93.4,river
4385251.0,4612643.97,99.0,river
4385251.0,4613343.97,98.6,river
4385251.0,4614043.97,101.2,river
4385251.0,4614743.97,98.6,river
4385251.0,4615443.97,96.0,river
4385251.0,4616143.97,90.7,river
4385251.0,4616843.97,73.6,river
4385251.0,4617543.97,53.1,river
4385251.0,4618243.97,76.5,river
4385251.0,4618943.97,120.4,river
4385251.0,4619643.97,119.8,river
4385251.0,4620343.97,117.2,river
4385251.0,4621043.97,117.7,river
4385251.0,4621743.97,118.5,river
4385251.0,4622443.97,119.4,river
4385251.0,4623143.97,115.4,river
4385251.0,4623843.97,111.3,river
4385251.0,4624543.97,104.8,river
4385251.0,4625243.97,101.2,river
4385251.0,4625943.97,28.6,river
4385251.0,4626643.97,30.7,river
4385251.0,4627343.97,29.5,river
4385251.0,4628043.97,26.7,river
4385951.0,4601443.97,67.2,river
4385951.0,4602143.97,178.4,river
4385951.0,4602843.97,166.3,river
4385951.0,4603543.97,165.0,river
4385951.0,4604243.97,166.9,river
4385951.0,4604943.97,169.2,river
4385951.0,4605643.97,171.5,river
4385951.0,4606343.97,171.9,river
4385951.0,4607043.97,172.1,river
4385951.0,4607743.97,172.8,river
4385951.0,4608443.97,174.8,river
4385951.0,4609143.97,175.3,river
4385951.0,4609843.97,62.5,river
4385951.0,4610543.97,81.3,river
4385951.0,4611243.97,87.2,river
4385951.0,4611943.97,98.4,river
4385951.0,4612643.97,99.4,river
4385951.0,4613343.97,102.5,river
4385951.0,4614043.97,98.6,river
4385951.0,4614743.97,97.3,river
4385951.0,4615443.97,99.5,river
4385951.0,4616143.97,96.2,river
4385951.0,4616843.97,26.5,river
4385951.0,4617543.97,13.6,river
4385951.0,4618243.97,5.9,river
4385951.0,4618943.97,140.6,river
4385951.0,4619643.97,131.1,river
4385951.0,4620343.97,120.5,river
4385951.0,4621043.97,117.4,river
4385951.0,4621743.97,120.5,river
4385951.0,4622443.97,119.2,river
4385951.0,4623143.97,115.5,river
4385951.0,4623843.97,110.6,river
4385951.0,4624543.97,107.4,river
4385951.0,4625243.97,92.5,river
4385951.0,4625943.97,18.3,river
4385951.0,4626643.97,30.2,river
4385951.0,4627343.97,28.4,river
4385951.0,4628043.97,22.0,river
4386651.0,4599343.97,43.2,river
4386651.0,4600043.97,29.5,river
4386651.0,4600743.97,22.5,river
4386651.0,4601443.97,27.9,river
4386651.0,4602143.97,2.1,river
4386651.0,4602843.97,174.1,river
4386651.0,4603543.97,165.5,river
4386651.0,4604243.97,167.4,river
