river,x_km,y_km,order
MAT,15.614,50.458,1
MAT,15.254,49.873,2
MAT,15.377,48.579,3
MAT,14.73,45.864,4
MAT,14.839,44.99,5
MAT,14.464,43.65,6
MAT,13.951,43.015,7
MAT,13.205,43.391,8
MAT,11.711,43.318,9
MAT,9.799,41.183,10
MAT,8.9,40.871,11
MAT,8.106,41.784,12
MAT,7.732,41.753,13
MAT,6.9,40.349,14
MAT,5.4,40.378,15
MAT,5.136,40.128,16
MAT,3.934,40.741,17
MAT,3.407,39.872,18
MAT,2.535,39.459,19
MAT,2.085,38.808,20
MAT,1.387,39.216,21
MAT,1.047,39.017,22
MAT,0.778,39.54,23
ISHEM,10.945,12.513,1
ISHEM,10.891,13.605,2
DROJA,15.975,9.133,1
DROJA,15.007,9.342,2
DROJA,13.668,10.847,3
DROJA,12.99,10.852,4
DROJA,12.596,11.476,5
