Well_ID,X_GK,Y_GK,x_km,y_km,K_mday,head_m,facies,n_mean,channel_azimuth_deg,theta_source,anis_ratio
P3,4389697.790000001,4612715.340000002,7.946790000000968,36.471370000001976,200.0,24.0,coarse,0.32,103.4,river,4.0
P4,4386550.210000001,4613827.160000004,4.799210000000894,37.58319000000414,200.0,36.0,medium,0.3,99.4,river,4.0
P5,4384832.870000002,4613341.220000001,3.0818700000019743,37.09725000000093,200.0,38.0,medium,0.3,95.7,river,4.0
P9,4384858.900000001,4609785.000000002,3.107900000001304,33.541030000002124,150.0,40.0,medium,0.3,172.5,river,4.0
P10,4385772.540000001,4611141.77,4.021540000000969,34.89779999999981,200.0,37.0,medium,0.3,84.7,river,4.0
P12,4387178.14,4611065.859999999,5.427139999999665,34.82188999999966,50.0,25.0,medium,0.3,93.0,river,4.0
P13,4386590.16,4605699.130000003,4.839160000000149,29.455160000002945,50.0,35.0,fine,0.27,172.7,river,4.0
P15,4382564.170000001,4605757.510000004,0.8131700000008568,29.51354000000469,50.0,45.0,fine,0.27,159.0,river,4.0
P17,4388660.46,4610529.710000005,6.909459999999963,34.28574000000488,200.0,25.0,medium,0.3,94.4,river,4.0
P19,4398876.2,4578903.74,17.125200000000188,2.6597700000004845,130.0,4.0,coarse,0.32,10.2,river,4.0
P20,4391881.35,4586409.809999999,10.130349999999629,10.16583999999892,100.0,20.0,medium,0.3,124.1,river,4.0
P21,4390133.639999999,4594648.170000002,8.382639999998734,18.40420000000205,100.0,32.0,medium,0.3,101.8,river,4.0
R8,4394166.0,4583209.0,12.415,6.965030000000261,130.0,10.0,coarse,0.32,124.7,river,4.0
R11,4391794.000000002,4584444.000000002,10.043000000001864,8.200030000002123,70.0,7.0,medium,0.3,123.2,river,4.0
R12,4394311.000000001,4585283.000000002,12.560000000000931,9.039030000002125,100.0,20.0,medium,0.3,127.6,river,4.0
R13,4391812.0,4585733.000000002,10.061,9.489030000002124,100.0,20.0,medium,0.3,120.5,river,4.0
R15,4391912.000000001,4587382.0,10.161000000000932,11.13803000000026,100.0,20.0,coarse,0.32,127.8,river,4.0
R16,4391407.000000001,4589527.0,9.656000000000931,13.28303000000026,100.0,26.0,coarse,0.32,109.2,river,4.0
A1,4384800.000000001,4612850.0,3.049000000000931,36.60603000000026,200.0,38.0,medium,0.3,97.1,river,4.0
A3,4390000.000000002,4616000.000000002,8.249000000001862,39.75603000000212,200.0,14.0,coarse,0.32,166.4,river,4.0
A4,4388850.000000001,4612899.999999998,7.099000000000931,36.6560299999984,200.0,26.0,coarse,0.32,101.0,river,4.0
A5,4384419.333672004,4611115.604097879,2.6683336720038207,34.87163409787882,200.0,40.0,fine,0.27,48.8,river,4.0
A9,4387250.0,4612950.000000004,5.499,36.70603000000399,200.0,30.0,medium,0.3,105.0,river,4.0
A10,4389600.000000001,4610750.000000002,7.849000000000931,34.50603000000212,200.0,25.0,medium,0.3,94.5,river,4.0
A11,4386700.000000001,4606500.0,4.949000000000932,30.256030000000266,50.0,30.0,medium,0.3,173.2,river,4.0
A12,4391862.350000001,4589715.158,10.11135000000056,13.47118800000008,100.0,26.0,coarse,0.32,122.1,river,4.0
A13,4388250.0,4600949.999999998,6.499,24.7060299999984,100.0,25.0,medium,0.3,103.6,river,4.0
A14,4398550.0,4577900.0,16.799,1.6560300000002608,130.0,4.0,coarse,0.32,12.4,river,4.0
A17,4390300.000000001,4593100.0,8.549000000000932,16.85603000000026,100.0,25.0,medium,0.3,98.2,river,4.0
A18,4394400.000000001,4587250.000000002,12.649000000000932,11.006030000002124,50.0,15.0,coarse,0.32,132.9,river,4.0
A20,4387800.0,4598549.999999998,6.049,22.3060299999984,100.0,25.0,medium,0.3,90.9,river,4.0
A21,4396050.000000001,4581000.000000002,14.299000000000932,4.756030000002124,130.0,6.0,coarse,0.32,146.3,river,4.0
A23,4384400.0,4606100.0,2.649,29.85603000000026,50.0,45.0,fine,0.27,166.6,river,4.0
A24,4387100.0,4606700.000000004,5.349,30.456030000003985,50.0,35.0,fine,0.27,173.5,river,4.0
A25,4388299.999999999,4607000.0,6.548999999999069,30.756030000000266,50.0,25.0,medium,0.3,177.6,river,4.0
A28,4387450.000000001,4614200.0,5.699000000000932,37.95603000000026,200.0,44.0,medium,0.3,103.0,river,4.0
A30,4386100.0,4613250.0,4.349,37.00603000000026,200.0,36.0,medium,0.3,102.6,river,4.0
