set,quantity,Well_ID,residual,sigma,score,covered_loo
5-fold CV,logK,P3,0.18233346711363,0.0439241024371109,4.15110285690389,1
5-fold CV,logK,P5,0.12065696488585,0.0683071829028482,1.76638765878337,1
5-fold CV,logK,P10,0.22135357629027,0.0795717312444045,2.78181174179035,1
5-fold CV,logK,P12,1.17241867230114,0.0653163884668481,17.9498392336283,0
5-fold CV,logK,P19,0.22137445187973,0.063264818016057,3.49917155888355,1
5-fold CV,logK,R8,0.342105710272071,0.0556673401779389,6.145537206889,1
5-fold CV,logK,A4,0.18289494286742,0.0619913322544062,2.95033089653304,1
5-fold CV,logK,A23,0.29044875945426,0.0907193056624043,3.20162017702288,1
5-fold CV,logK,P13,0.31001489803966,0.0624174312595722,4.9668000073636,1
5-fold CV,logK,P21,0.11718079211805,0.064121228955286,1.82748824417829,1
5-fold CV,logK,R12,0.00629502894971967,0.0564980311657165,0.111420324210157,1
5-fold CV,logK,R15,0.0844561573117399,0.065541268051737,1.28859510690382,1
5-fold CV,logK,A1,0.18489014079934,0.0551311474826791,3.35364216493821,1
5-fold CV,logK,A18,0.65377001609183,0.0545382128058197,11.9873751349268,0
5-fold CV,logK,A25,0.47239607021984,0.071475214829117,6.6092291061908,1
5-fold CV,logK,A30,0.17451557885375,0.051588811858846,3.38281833920208,1
5-fold CV,logK,P9,0.30756554362832,0.0689014456415983,4.46384746741266,1
5-fold CV,logK,P15,0.30476431693411,0.0660651993168364,4.6130840455429,1
5-fold CV,logK,A3,0.28344630967345,0.0688421213751241,4.11733839706852,1
5-fold CV,logK,A9,0.23435031345254,0.0593892525251727,3.94600543849593,1
5-fold CV,logK,A20,0.23286210658644,0.0448287653527537,5.19447958814097,1
5-fold CV,logK,A21,0.293194647395681,0.0536752374688365,5.46238193293337,1
5-fold CV,logK,A28,0.1810825325128,0.0650498256389563,2.78375123582738,1
5-fold CV,logK,R11,0.30136463140442,0.0556011147340597,5.42011851463496,1
5-fold CV,logK,R13,0.0693136529375504,0.0705349712232646,0.982684925441476,1
5-fold CV,logK,A11,0.35844990259187,0.0844389859213669,4.24507588148528,1
5-fold CV,logK,A12,0.14580202065402,0.0796419384191339,1.83071913552258,1
5-fold CV,logK,A14,0.11029930488673,0.060547580981828,1.82169631054021,1
5-fold CV,logK,A17,0.15802187882358,0.06461395598364,2.44563076843013,1
5-fold CV,logK,A24,0.39026268170055,0.0906559274453897,4.30487771398777,1
5-fold CV,logK,P4,0.174432180034779,0.0645885305310693,2.70066803812593,1
5-fold CV,logK,P17,0.54418732097512,0.0611508686189144,8.8990938847727,0
5-fold CV,logK,P20,0.13583936654025,0.0620946818259287,2.18761675792223,1
5-fold CV,logK,R16,0.16580020549391,0.0615950242919762,2.6917792045665,1
5-fold CV,logK,A5,0.4034733431614,0.0567526295323371,7.1093330209749,1
5-fold CV,logK,A10,0.52632352283364,0.066251703615537,7.94430171770269,1
5-fold CV,logK,A13,0.36598671240105,0.0438661620027086,8.34325812179445,1
5-fold CV,head,P3,8.3420447031657,2.09562693330024,3.9806916825737,1
5-fold CV,head,P5,4.7194470087687,1.85080316823163,2.54994539115575,1
5-fold CV,head,P10,4.2489880243937,1.69936359525336,2.50034073712178,1
5-fold CV,head,P12,8.109575843811,1.67672384417022,4.83656021950608,1
5-fold CV,head,P19,5.72535282770793,2.34887284164365,2.43748947418607,1
5-fold CV,head,R8,4.6380193392436,1.94462523219709,2.38504533544669,1
5-fold CV,head,A4,6.4369110107422,1.6365105311502,3.9333147500237,1
5-fold CV,head,A23,12.6971018473307,1.76597200314209,7.18986587824693,0
5-fold CV,head,P13,2.9432442982992,1.84962641603926,1.59126419950348,1
5-fold CV,head,P21,6.5534313837687,1.61378793116352,4.06089998395499,1
5-fold CV,head,R12,4.6000294685364,1.79529739595873,2.56226599497733,1
5-fold CV,head,R15,2.1672185579936,2.18404508061634,0.992295707276339,1
5-fold CV,head,A1,6.0910665512085,1.65541332203694,3.67948383048749,1
5-fold CV,head,A18,1.7427837689718,1.78872346228582,0.974317051079929,1
5-fold CV,head,A25,7.3061159769694,1.41656483502133,5.1576290730522,1
5-fold CV,head,A30,3.92088209788,1.78822545419039,2.19261060661681,1
5-fold CV,head,P9,7.5363549550374,1.48355059699857,5.07994467481224,1
5-fold CV,head,P15,12.3948158899943,1.79793549811256,6.89391577340019,1
5-fold CV,head,A3,17.9658503214518,1.80068801546106,9.97721435761969,0
5-fold CV,head,A9,2.0501287460327,1.61179113570783,1.27195683151116,1
5-fold CV,head,A20,3.2884782155355,1.38265064955479,2.37838691689356,1
5-fold CV,head,A21,4.430006535848,1.83527506188989,2.41381067494382,1
5-fold CV,head,A28,11.9999203364054,1.63589408287976,7.3353895352939,0
5-fold CV,head,R11,9.4826974550883,2.00625357021307,4.72656975961479,1
5-fold CV,head,R13,2.7304215431213,1.81625286983414,1.50332676053563,1
5-fold CV,head,A11,2.1986559549967,2.17172460844983,1.01240090315415,1
5-fold CV,head,A12,5.1031642913818,1.77619318906087,2.87309078922885,1
5-fold CV,head,A14,4.60196330547333,2.26219678205222,2.03428956401331,1
5-fold CV,head,A17,0.344641749064099,1.82754076041581,0.188582250272593,1
5-fold CV,head,A24,2.5901051839193,1.93345687565154,1.33962397431103,1
5-fold CV,head,P4,3.2948197046916,2.03657947247853,1.61782034495407,1
5-fold CV,head,P17,7.5237326304118,1.31418777856069,5.72500578163332,1
5-fold CV,head,P20,2.2539716084798,1.93341465500302,1.16579834679917,1
5-fold CV,head,R16,5.0773672103882,2.18668075253118,2.32195175473645,1
5-fold CV,head,A5,6.6258673350016,2.24002377328426,2.95794509595179,1
5-fold CV,head,A10,7.7057892481486,2.03871093380913,3.77973606770779,1
5-fold CV,head,A13,5.5485789616903,1.66765510984263,3.32717414346777,1
bootstrap OOB,logK,P3,0.2388355438984,0.120579687929825,1.98072783234766,1
bootstrap OOB,logK,P4,0.19355436733132,0.104034239651524,1.86048716249242,1
bootstrap OOB,logK,P5,0.19974667930702,0.0978197719848835,2.04198676048731,1
bootstrap OOB,logK,P9,0.33408534069337,0.143480287433645,2.32844069850274,1
bootstrap OOB,logK,P10,0.42323191732929,0.172093024678526,2.45932058036575,1
bootstrap OOB,logK,P12,1.15926445768055,0.112626046827158,10.2930404674473,0
bootstrap OOB,logK,P13,0.39781653032478,0.130389552628863,3.05098470164334,1
bootstrap OOB,logK,P15,0.43329536434377,0.113497807501155,3.81765404886223,1
bootstrap OOB,logK,P17,0.47625319913408,0.160985212842861,2.95836611775613,1
bootstrap OOB,logK,P19,0.2006046729923,0.0871185947939513,2.30266194567028,1
bootstrap OOB,logK,P20,0.16771662109698,0.0996914536641591,1.68235706204048,1
bootstrap OOB,logK,P21,0.18350077432885,0.100002904330067,1.83495445015469,1
bootstrap OOB,logK,R8,0.34725623749257,0.082699485982005,4.19901325103921,0
bootstrap OOB,logK,R11,0.315624594562269,0.0809011334614271,3.90136183583579,1
bootstrap OOB,logK,R12,0.0661573533464903,0.121888465563504,0.542769597111896,1
