fold,Well_ID,logK_obs,logK_pred,logK_sd,h_obs,h_pred,h_sd,cov90_K,cov90_h
1,P3,5.29831736654804,5.11598389943441,0.0439241024371109,24,32.3420447031657,2.09562693330024,0,0
1,P5,5.29831736654804,5.17766040166219,0.0683071829028482,38,33.2805529912313,1.85080316823163,0,0
1,P10,5.29831736654804,5.07696379025777,0.0795717312444045,37,32.7510119756063,1.69936359525336,0,0
1,P12,3.91202300542815,5.08444167772929,0.0653163884668481,25,33.109575843811,1.67672384417022,0,0
1,P19,4.86753445045558,4.64615999857585,0.063264818016057,4,9.72535282770793,2.34887284164365,0,0
1,R8,4.86753445045558,4.52542874018351,0.0556673401779389,10,14.6380193392436,1.94462523219709,0,0
1,A4,5.29831736654804,5.11542242368062,0.0619913322544062,26,32.4369110107422,1.6365105311502,0,0
1,A23,3.91202300542815,4.20247176488241,0.0907193056624043,45,32.3028981526693,1.76597200314209,0,0
2,P13,3.91202300542815,4.22203790346781,0.0624174312595722,35,32.0567557017008,1.84962641603926,0,1
2,P21,4.60517018598809,4.48798939387004,0.064121228955286,32,25.4465686162313,1.61378793116352,0,0
2,R12,4.60517018598809,4.59887515703837,0.0564980311657165,20,15.3999705314636,1.79529739595873,1,0
2,R15,4.60517018598809,4.52071402867635,0.065541268051737,20,17.8327814420064,2.18404508061634,1,1
2,A1,5.29831736654804,5.1134272257487,0.0551311474826791,38,31.9089334487915,1.65541332203694,0,0
2,A18,3.91202300542815,4.56579302151998,0.0545382128058197,15,16.7427837689718,1.78872346228582,0,1
2,A25,3.91202300542815,4.38441907564799,0.071475214829117,25,32.3061159769694,1.41656483502133,0,0
2,A30,5.29831736654804,5.12380178769429,0.051588811858846,36,32.07911790212,1.78822545419039,0,0
3,P9,5.01063529409626,4.70306975046794,0.0689014456415983,40,32.4636450449626,1.48355059699857,0,0
3,P15,3.91202300542815,4.21678732236226,0.0660651993168364,45,32.6051841100057,1.79793549811256,0,0
3,A3,5.29831736654804,5.01487105687459,0.0688421213751241,14,31.9658503214518,1.80068801546106,0,0
3,A9,5.29831736654804,5.0639670530955,0.0593892525251727,30,32.0501287460327,1.61179113570783,0,1
3,A20,4.60517018598809,4.37230807940165,0.0448287653527537,25,28.2884782155355,1.38265064955479,0,0
3,A21,4.86753445045558,4.5743398030599,0.0536752374688365,6,10.430006535848,1.83527506188989,0,0
3,A28,5.29831736654804,5.11723483403524,0.0650498256389563,44,32.0000796635946,1.63589408287976,0,0
4,R11,4.24849524204936,4.54985987345378,0.0556011147340597,7,16.4826974550883,2.00625357021307,0,0
4,R13,4.60517018598809,4.53585653305054,0.0705349712232646,20,17.2695784568787,1.81625286983414,1,1
4,A11,3.91202300542815,4.27047290802002,0.0844389859213669,30,32.1986559549967,2.17172460844983,0,1
4,A12,4.60517018598809,4.45936816533407,0.0796419384191339,26,20.8968357086182,1.77619318906087,0,0
4,A14,4.86753445045558,4.75723514556885,0.060547580981828,4,8.60196330547333,2.26219678205222,0,0
4,A17,4.60517018598809,4.44714830716451,0.06461395598364,25,24.6553582509359,1.82754076041581,0,1
4,A24,3.91202300542815,4.3022856871287,0.0906559274453897,35,32.4098948160807,1.93345687565154,0,1
5,P4,5.29831736654804,5.12388518651326,0.0645885305310693,36,32.7051802953084,2.03657947247853,0,1
5,P17,5.29831736654804,4.75413004557292,0.0611508686189144,25,32.5237326304118,1.31418777856069,0,0
5,P20,4.60517018598809,4.46933081944784,0.0620946818259287,20,17.7460283915202,1.93341465500302,0,1
5,R16,4.60517018598809,4.43936998049418,0.0615950242919762,26,20.9226327896118,2.18668075253118,0,0
5,A5,5.29831736654804,4.89484402338664,0.0567526295323371,40,33.3741326649984,2.24002377328426,0,0
5,A10,5.29831736654804,4.7719938437144,0.066251703615537,25,32.7057892481486,2.03871093380913,0,0
5,A13,4.60517018598809,4.23918347358704,0.0438661620027086,25,30.5485789616903,1.66765510984263,0,0
