design,n_wells,W2sq_cumulative,W2sq_sd,trace_removed_frac
W2,1,0.26050062689702,0,-0.00150935749252512
W2,2,0.504650483161546,0,0.00496184621124918
W2,3,0.767956467879665,0,0.00867762304226916
W2,4,1.0416711222387,0,0.00469683520678099
W2,5,1.30738144379986,0,0.00139674524030531
W2-Lambda,1,0.254444089022552,0,0.00270409643675351
W2-Lambda,2,0.512431547937584,0,0.00903490630117265
W2-Lambda,3,0.773193842186001,0,0.00905185277957699
W2-Lambda,4,1.0390899939538,0,0.01075249324737
W2-Lambda,5,1.30643091626948,0,0.0172169855150129
A-optimal,1,0.222927647589892,0,-0.00328200754634711
A-optimal,2,0.465633178415886,0,0.00076866525444097
A-optimal,3,0.722039541063053,0,0.00513645930560591
A-optimal,4,1.00638831543269,0,0.00791087037882432
A-optimal,5,1.2505809954868,0,0.00381186917614795
space-filling,1,0.213229311173077,0,-0.0052385048476582
space-filling,2,0.418557034349219,0,-0.00386494194894582
space-filling,3,0.633641547252309,0,-0.00326594984465545
space-filling,4,0.848626305870798,0,0.000144801568355168
space-filling,5,1.06334586137578,0,0.00120502739513195
random,1,0.218444071476436,0.013482988088665,0.000395727740553414
random,2,0.427513200731572,0.0203756830099069,0.00189746912613697
random,3,0.644801444822555,0.0283706012030487,0.00293763443736341
random,4,0.862399795417344,0.0381901628445791,0.00388940664543868
random,5,1.07195662689044,0.0440798946433143,0.00539412011527737
