unit,device,gpu,n_units,minutes_per_unit,s_per_epoch,hours_elapsed
5-fold cross-validation,GPU,alone,5,7.0,0.27,
bootstrap member,GPU,alone,2,6.5,0.25,
bootstrap member,GPU,shared,30,8.5,,
factorial ablation cell,GPU,shared,36,9.4,,
synthetic configuration,GPU,shared,12,9.3,,
closed-loop refit,GPU,shared,5,11.3,,
stage 00_ver,,,,0.2,,
stage 00_smoke_test,,,,1.6,,
stage 00b_smoke_test,,,,4.2,,
stage 01_fushekuqe,,,,11.6,,
stage 02_cv,,,,34.5,,
stage 03_baselines,,,,0.3,,
stage 03b_baselines,,,,0.3,,
stage 04_bootstrap,,,,34.9,,
stage 06_factorial,,,,21.2,,
stage 07_synthetic,,,,0.4,,
stage 07b_synthetic,,,,112.0,,
stage 06b_factorial,,,,207.2,,
stage 04b_bootstrap,,,,206.9,,
stage 08b_closed_loop,,,,93.5,,
stage 09a_figs,,,,2.2,,
stage 04c_bootstrap,,,,23.1,,
stage 06c_factorial,,,,99.0,,
stage 05_08_conformal_oed,,,,53.1,,
stage 03c_baselines,,,,1.0,,
stage 09b_figs,,,,3.4,,
stage 09c_fig7,,,,0.7,,
stage 09d_fig7,,,,0.9,,
stage 06d_factorial,,,,24.2,,
stage 09e_fig8_summary,,,,0.5,,
stage 09f_fig8,,,,0.4,,
"whole chain, machine time",mixed,shared,,,,7.0
