block,config,w5,w6,w7,layers,units,logK_RMSE,logK_bias,logK_corr,n_RMSE,n_bias,n_corr,head_RMSE,head_corr
loss,base,0,0,0,4,64,0.524036317212933,-0.260996913958139,0.0511818616961032,0.0227617719699714,-0.00483837244500418,0.18588236415412,3.12450572780313,0.796561005957946
loss,+L5,0.05,0,0,4,64,0.313719057440148,-0.141171676503217,0.494458557551627,0.0284282773013838,0.0147867666365251,-0.0932337139694677,2.92181483460163,0.823928699623942
loss,+L6,0,0.5,0,4,64,0.527722157906891,-0.26650533507487,0.0636204602097384,0.0333195077345944,-0.0111118792445286,0.0709971613735117,3.14629758180302,0.795424144738171
loss,+L7,0,0,1.5,4,64,0.378778272700105,-0.151314784804129,0.291873242764983,0.0257012162726908,-0.00065325796642689,0.247491579256859,3.13587498382358,0.799086174454461
loss,full,0.05,0.5,1.5,4,64,0.289983538824209,-0.118484621300916,0.585964189937901,0.0176576218160666,-0.00167290469519468,0.444661843146956,2.89066844567377,0.827098804118252
weights,w5 x 0.5,0.025,0.5,1.5,4,64,0.295219801208004,-0.122134878311113,0.554329829756801,0.0180035819620277,-0.00198851029675691,0.439663480111521,2.95004216310309,0.817448180986671
weights,w5 x 2,0.1,0.5,1.5,4,64,0.290797066972907,-0.114316018564369,0.582649903992112,0.0178028141234289,-0.000917248194807014,0.417821248685413,2.81631565131583,0.83760522868267
weights,w6 x 0.5,0.05,0.25,1.5,4,64,0.286896456204995,-0.112128958634469,0.586540891532951,0.0176211171966953,-0.000823316538227306,0.446430181128642,2.87896450360066,0.828056888251422
weights,w6 x 2,0.05,1,1.5,4,64,0.286914315028328,-0.114961215844067,0.593227117124525,0.0176599946786153,-0.00116435632261748,0.445604371746962,2.91467207320432,0.825963103625758
weights,w7 x 0.5,0.05,0.5,0.75,4,64,0.295441235775329,-0.124026360450124,0.56389910830635,0.0179712564141759,-0.00212134474884165,0.427296047304455,2.92578162398682,0.824044300504909
weights,w7 x 2,0.05,0.5,3,4,64,0.280904421908405,-0.10835697320975,0.616806057474525,0.0172465222729371,-0.000799542542089831,0.471958875329607,2.90459476808518,0.828832693284294
architecture,2 layers,0.05,0.5,1.5,2,64,0.282544775238105,-0.0989929279770137,0.574028583503821,0.0183954986273268,-0.000718417992750181,0.40744226640468,2.55028558028961,0.872211040666582
architecture,6 layers,0.05,0.5,1.5,6,64,0.295838381191683,-0.133310017160381,0.600329659857752,0.0171184574479982,-0.00120586584726362,0.4770836079555,3.0964942687032,0.79354845699413
architecture,32 units,0.05,0.5,1.5,4,32,0.285437668140756,-0.117355506406181,0.628648261073977,0.0168122576800338,-0.0018405882031743,0.505379928047647,3.10986321474611,0.796702344568576
architecture,128 units,0.05,0.5,1.5,4,128,0.285405238545914,-0.111536497863586,0.584659110012251,0.0179534066259019,-0.000698670454870991,0.436680701872284,2.88521138305718,0.835711065786922
